segment,count,treatment_mean,control_mean,uplift_absolute,uplift_relative_pct,treatment_count,control_count
Medium-High,4087,0.1486430562533489,1.0,-0.851356943746651,-85.1356943746651,46,6
Low,4088,0.3326899040083427,1.0,-0.6673100959916574,-66.73100959916573,41,10
High,4087,0.20848068635996758,1.0,-0.7915193136400325,-79.15193136400325,35,5
Medium-Low,4087,0.2239486603318562,1.0,-0.7760513396681438,-77.60513396681438,36,4
