metric,value
R2_treatment,0.007918156004415033
R2_control,0.39447282714442655
IPW_Qini_AUUC,-2.687783050291083
IPW_Uplift_top20,-0.21008771450608676
IPW_All_users_targeting_uplift,-0.7082097013581561
ESS,8916.002578817232
ESS_ratio,0.5441896105235127
IPW_Treatment_rate_top20,0.23280514856369688
IPW_Control_rate_top20,0.44289286306978365
Treatment_count_top20,3167.0
Control_count_top20,109.0
